Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-05-24,183.46,185.4,183.46,185.25,2424684.0,0.0,1.0,183.46,185.4,183.46,185.25,2424684.0
2017-05-23,184.0,184.46,182.86,183.49,2101615.0,0.0,1.0,184.0,184.46,182.86,183.49,2101615.0
2017-05-22,183.78,185.32,182.52,183.67,2939028.0,0.0,1.0,183.78,185.32,182.52,183.67,2939028.0
2017-05-19,177.73,181.42,176.77,180.76,4018267.0,0.0,1.0,177.73,181.42,176.77,180.76,4018267.0
2017-05-18,178.48,178.5,175.471,177.4,3104899.0,0.0,1.0,178.48,178.5,175.471,177.4,3104899.0
2017-05-17,181.39,181.52,178.68,178.78,2494001.0,0.0,1.0,181.39,181.52,178.68,178.78,2494001.0
2017-05-16,182.73,183.15,182.04,182.7,2152988.0,0.0,1.0,182.73,183.15,182.04,182.7,2152988.0
2017-05-15,183.3,184.11,182.28,182.39,3357027.0,0.0,1.0,183.3,184.11,182.28,182.39,3357027.0
2017-05-12,183.71,183.98,182.63,183.25,3456396.0,0.0,1.0,183.71,183.98,182.63,183.25,3456396.0
2017-05-11,182.9,184.33,182.17,183.94,2837184.0,0.0,1.0,182.9,184.33,182.17,183.94,2837184.0
2017-05-10,185.14,185.65,178.18,183.18,6869552.0,1.42,1.0,185.14,185.65,178.18,183.18,6869552.0
2017-05-09,186.11,187.205,186.05,186.91,2844172.0,0.0,1.0,184.67838461538,185.76496153846,184.61884615385,185.47223076923,2844172.0
2017-05-08,185.38,186.39,185.0,186.02,1963400.0,0.0,1.0,183.954,184.95623076923,183.57692307692,184.58907692308,1963400.0
2017-05-05,183.16,185.07,183.16,185.01,2619262.0,0.0,1.0,181.75107692308,183.64638461538,181.75107692308,183.58684615385,2619262.0
2017-05-04,183.33,184.25,182.18,183.07,2238916.0,0.0,1.0,181.91976923077,182.83269230769,180.77861538462,181.66176923077,2238916.0
2017-05-03,183.45,183.75,182.25,183.39,2809931.0,0.0,1.0,182.03884615385,182.33653846154,180.84807692308,181.97930769231,2809931.0
2017-05-02,182.54,183.91,182.53,183.44,1965118.0,0.0,1.0,181.13584615385,182.49530769231,181.12592307692,182.02892307692,1965118.0
2017-05-01,184.23,184.485,181.8,182.39,3511947.0,0.0,1.0,182.81284615385,183.06588461538,180.40153846154,180.987,3511947.0
2017-04-28,183.42,184.93,183.02,184.83,2171688.0,0.0,1.0,182.00907692308,183.50746153846,181.61215384615,183.40823076923,2171688.0
2017-04-27,182.59,183.76,182.59,183.22,3125166.0,0.0,1.0,181.18546153846,182.34646153846,181.18546153846,181.81061538462,3125166.0
2017-04-26,182.31,183.0,180.11,181.71,4464081.0,0.0,1.0,180.90761538462,181.59230769231,178.72453846154,180.31223076923,4464081.0
2017-04-25,182.53,183.85,182.53,183.51,3719430.0,0.0,1.0,181.12592307692,182.43576923077,181.12592307692,182.09838461538,3719430.0
2017-04-24,181.75,182.46,181.61,182.06,3141913.0,0.0,1.0,180.35192307692,181.05646153846,180.213,180.65953846154,3141913.0
2017-04-21,179.42,180.93,179.42,180.38,3146556.0,0.0,1.0,178.03984615385,179.53823076923,178.03984615385,178.99246153846,3146556.0
2017-04-20,178.74,179.82,178.346,179.3,2335176.0,0.0,1.0,177.36507692308,178.43676923077,176.97410769231,177.92076923077,2335176.0
2017-04-19,178.47,179.9,178.16,178.4,2124533.0,0.0,1.0,177.09715384615,178.51615384615,176.78953846154,177.02769230769,2124533.0
2017-04-18,178.59,179.97,177.12,177.85,2960165.0,0.0,1.0,177.21623076923,178.58561538462,175.75753846154,176.48192307692,2960165.0
2017-04-17,175.84,179.08,175.65,179.02,2450222.0,0.0,1.0,174.48738461538,177.70246153846,174.29884615385,177.64292307692,2450222.0
2017-04-13,175.74,176.88,175.5639,175.62,2024086.0,0.0,1.0,174.38815384615,175.51938461538,174.21340846154,174.26907692308,2024086.0
2017-04-12,178.25,178.25,175.94,176.05,2922725.0,0.0,1.0,176.87884615385,176.87884615385,174.58661538462,174.69576923077,2922725.0
2017-04-11,177.5,178.6,176.96,178.57,2265743.0,0.0,1.0,176.13461538462,177.22615384615,175.59876923077,177.19638461538,2265743.0
2017-04-10,179.0,179.97,177.48,177.56,2309273.0,0.0,1.0,177.62307692308,178.58561538462,176.11476923077,176.19415384615,2309273.0
2017-04-07,178.39,179.09,177.26,178.85,2806779.0,0.0,1.0,177.01776923077,177.71238461538,175.89646153846,177.47423076923,2806779.0
2017-04-06,177.56,178.22,177.12,177.37,2343873.0,0.0,1.0,176.19415384615,176.84907692308,175.75753846154,176.00561538462,2343873.0
2017-04-05,179.0,180.18,176.89,177.08,2567212.0,0.0,1.0,177.62307692308,178.794,175.52930769231,175.71784615385,2567212.0
2017-04-04,176.88,178.79,176.76,178.7,2326394.0,0.0,1.0,175.51938461538,177.41469230769,175.40030769231,177.32538461538,2326394.0
2017-04-03,177.08,177.73,175.5,176.65,2933653.0,0.0,1.0,175.71784615385,176.36284615385,174.15,175.29115384615,2933653.0
2017-03-31,178.02,178.18,176.81,176.86,2032749.0,0.0,1.0,176.65061538462,176.80938461538,175.44992307692,175.49953846154,2032749.0
2017-03-30,177.25,178.49,177.22,177.98,1737221.0,0.0,1.0,175.88653846154,177.117,175.85676923077,176.61092307692,1737221.0
2017-03-29,177.4,177.99,176.97,177.63,1640601.0,0.0,1.0,176.03538461538,176.62084615385,175.60869230769,176.26361538462,1640601.0
2017-03-28,176.29,177.683,175.0,177.36,2412559.0,0.0,1.0,174.93392307692,176.31620769231,173.65384615385,175.99569230769,2412559.0
2017-03-27,174.37,176.44,173.75,176.1,2750685.0,0.0,1.0,173.02869230769,175.08276923077,172.41346153846,174.74538461538,2750685.0
2017-03-24,176.85,177.53,174.7687,175.82,2386769.0,0.0,1.0,175.48961538462,176.16438461538,173.42432538462,174.46753846154,2386769.0
2017-03-23,177.34,177.85,176.59,177.26,2006383.0,0.0,1.0,175.97584615385,176.48192307692,175.23161538462,175.89646153846,2006383.0
2017-03-22,175.96,177.1,175.5,176.98,2505738.0,0.0,1.0,174.60646153846,175.73769230769,174.15,175.61861538462,2505738.0
2017-03-21,179.99,180.25,175.5,175.96,3239579.0,0.0,1.0,178.60546153846,178.86346153846,174.15,174.60646153846,3239579.0
2017-03-20,180.1,180.15,179.14,179.39,2062211.0,0.0,1.0,178.71461538462,178.76423076923,177.762,178.01007692308,2062211.0
2017-03-17,178.31,180.3835,178.17,180.1,5037385.0,0.0,1.0,176.93838461538,178.99593461538,176.79946153846,178.71461538462,5037385.0
2017-03-16,179.8199,180.0,177.64,178.19,3100744.0,0.0,1.0,178.43667,178.61538461538,176.27353846154,176.81930769231,3100744.0
2017-03-15,179.0,179.24,177.97,178.71,3569047.0,0.0,1.0,177.62307692308,177.86123076923,176.601,177.33530769231,3569047.0
2017-03-14,178.54,179.69,177.71,178.73,2346666.0,0.0,1.0,177.16661538462,178.30776923077,176.343,177.35515384615,2346666.0
2017-03-13,177.16,179.19,177.07,179.05,3499021.0,0.0,1.0,175.79723076923,177.81161538462,175.70792307692,177.67269230769,3499021.0
2017-03-10,181.9,181.97,177.92,178.7,4595371.0,0.0,1.0,180.50076923077,180.57023076923,176.55138461538,177.32538461538,4595371.0
2017-03-09,181.43,182.59,179.58,180.57,3100466.0,0.0,1.0,180.03438461538,181.18546153846,178.19861538462,179.181,3100466.0
2017-03-08,182.4,182.694,181.49,181.74,2321738.0,0.0,1.0,180.99692307692,181.28866153846,180.09392307692,180.342,2321738.0
2017-03-07,180.64,182.84,180.6209,182.02,2451960.0,0.0,1.0,179.25046153846,181.43353846154,179.23150846154,180.61984615385,2451960.0
2017-03-06,181.4,182.3,180.43,180.93,4244029.0,0.0,1.0,180.00461538462,180.89769230769,179.04207692308,179.53823076923,4244029.0
2017-03-03,183.04,183.58,181.45,182.18,3940363.0,0.0,1.0,181.632,182.16784615385,180.05423076923,180.77861538462,3940363.0
2017-03-02,184.0,185.71,182.97,182.99,4907000.0,0.0,1.0,182.58461538462,184.28146153846,181.56253846154,181.58238461538,4907000.0
2017-03-01,181.85,184.8,181.82,183.91,5461751.0,0.0,1.0,180.45115384615,183.37846153846,180.42138461538,182.49530769231,5461751.0
2017-02-28,180.34,181.93,179.67,180.23,4785045.0,0.0,1.0,178.95276923077,180.53053846154,178.28792307692,178.84361538462,4785045.0
2017-02-27,178.0,179.8839,177.55,179.43,2892459.0,0.0,1.0,176.63076923077,178.50017769231,176.18423076923,178.04976923077,2892459.0
2017-02-24,176.75,178.8,176.1,177.44,4197017.0,0.0,1.0,175.39038461538,177.42461538462,174.74538461538,176.07507692308,4197017.0
2017-02-23,175.97,177.0,175.7,176.86,3502645.0,0.0,1.0,174.61638461538,175.63846153846,174.34846153846,175.49953846154,3502645.0
2017-02-22,174.98,175.75,174.01,175.36,2832136.0,0.0,1.0,173.634,174.39807692308,172.67146153846,174.01107692308,2832136.0
2017-02-21,173.92,176.17,173.68,175.56,4231619.0,0.0,1.0,172.58215384615,174.81484615385,172.344,174.20953846154,4231619.0
2017-02-17,170.41,173.25,170.4,172.71,4982357.0,0.0,1.0,169.09915384615,171.91730769231,169.08923076923,171.38146153846,4982357.0
2017-02-16,169.64,170.81,168.75,170.81,3070147.0,0.0,1.0,168.33507692308,169.49607692308,167.45192307692,169.49607692308,3070147.0
2017-02-15,168.42,169.95,168.35,169.3,4033198.0,0.0,1.0,167.12446153846,168.64269230769,167.055,167.99769230769,4033198.0
2017-02-14,167.7,168.8,167.22,168.5,2580278.0,0.0,1.0,166.41,167.50153846154,165.93369230769,167.20384615385,2580278.0
2017-02-13,166.45,169.07,166.35,168.03,3765027.0,0.0,1.0,165.16961538462,167.76946153846,165.07038461538,166.73746153846,3765027.0
2017-02-10,165.25,166.45,164.47,166.23,2689719.0,0.0,1.0,163.97884615385,165.16961538462,163.20484615385,164.95130769231,2689719.0
2017-02-09,164.67,165.086,164.06,164.28,3451132.0,0.0,1.0,163.40330769231,163.81610769231,162.798,163.01630769231,3451132.0
2017-02-08,165.0,165.24,163.69,163.81,3039106.0,1.42,1.0,163.73076923077,163.96892307692,162.43084615385,162.54992307692,3039106.0
2017-02-07,165.0,167.4199,164.8725,166.5,4243139.0,0.0,1.0,162.3236537414,164.70430228497,162.19822182715,163.79932332087,4243139.0
2017-02-06,162.42,164.08,162.38,163.98,3110479.0,0.0,1.0,159.78550206472,161.41857639933,159.74615087594,161.32019842737,3110479.0
2017-02-03,162.99,163.56,162.31,162.4,2981662.0,0.0,1.0,160.34625650492,160.90701094512,159.67728629556,159.76582647033,2981662.0
2017-02-02,163.22,163.97,160.82,162.26,3791669.0,0.0,1.0,160.57252584044,161.31036063017,158.21145451329,159.62809730958,3791669.0
2017-02-01,164.25,165.81,163.12,163.97,3137956.0,0.0,1.0,161.58581895167,163.12051531432,160.47414786847,161.31036063017,3137956.0
2017-01-31,164.96,165.1,163.22,163.42,5350186.0,0.0,1.0,162.28430255262,162.42203171337,160.57252584044,160.76928178437,5350186.0
2017-01-30,165.92,165.99,163.82,165.57,5456015.0,0.0,1.0,163.22873108348,163.29759566385,161.16279367222,162.8844081816,5456015.0
2017-01-27,169.21,169.8,167.01,167.7,4883229.0,0.0,1.0,166.46536636111,167.0457963957,164.30105097789,164.97985898445,4883229.0
2017-01-26,167.25,170.0,167.25,169.12,5436834.0,0.0,1.0,164.53715811061,167.24255233963,164.53715811061,166.37682618634,5436834.0
2017-01-25,163.59,168.65,163.24,167.36,7480039.0,0.0,1.0,160.93652433671,165.91444971811,160.59220143483,164.64537387977,7480039.0
2017-01-24,158.58,160.93,157.84,160.55,3927536.0,0.0,1.0,156.00778794128,158.31967028245,155.27979094875,157.94583398899,3927536.0
2017-01-23,158.94,159.5,157.29,157.84,3929835.0,0.0,1.0,156.36194864036,156.91286528336,154.73871210294,155.27979094875,3929835.0
2017-01-20,159.81,160.3,158.23,159.53,3343475.0,0.0,1.0,157.21783699645,157.69988905907,155.66346503941,156.94237867495,3343475.0
2017-01-19,158.87,159.87,157.91,159.0,3143963.0,0.0,1.0,156.29308405998,157.27686377963,155.34865552912,156.42097542354,3143963.0
2017-01-18,157.55,159.05,156.75,158.32,2087283.0,0.0,1.0,154.99449483005,156.47016440952,154.20747105433,155.75200521418,2087283.0
2017-01-17,158.2,159.04,157.23,157.67,2758788.0,0.0,1.0,155.63395164782,156.46032661232,154.67968531976,155.11254839641,2758788.0
2017-01-13,158.74,159.58,158.34,158.83,2435391.0,0.0,1.0,156.16519269643,156.99156766093,155.77168080857,156.2537328712,2435391.0
2017-01-12,159.15,159.16,156.67,158.29,3020336.0,0.0,1.0,156.56854238148,156.57838017868,154.12876867676,155.72249182259,3020336.0
2017-01-11,159.54,159.7,158.28,159.4,2416487.0,0.0,1.0,156.95221647214,157.10962122729,155.71265402539,156.81448731139,2416487.0
2017-01-10,158.96,159.94,158.57,159.07,2988302.0,0.0,1.0,156.38162423475,157.34572836,155.99795014409,156.48984000391,2988302.0
2017-01-09,159.0,159.24,158.17,158.32,2838600.0,0.0,1.0,156.42097542354,156.65708255625,155.60443825623,155.75200521418,2838600.0
2017-01-06,158.98,159.66,157.89,159.1,2426662.0,0.0,1.0,156.40129982914,157.0702700385,155.32897993473,156.5193533955,2426662.0
2017-01-05,158.41,159.7,157.401,158.71,2794384.0,0.0,1.0,155.84054538895,157.10962122729,154.84791165182,156.13567930484,2794384.0
2017-01-04,157.81,159.2299,157.81,158.62,3189810.0,0.0,1.0,155.25027755716,156.64714638108,155.25027755716,156.04713913007,3189810.0
2017-01-03,156.3,157.14,155.21,156.97,3426113.0,0.0,1.0,153.76477018049,154.591145145,152.69245028608,154.42390259266,3426113.0
2016-12-30,156.49,156.79,154.96,155.68,2028362.0,0.0,1.0,153.95168832723,154.24682224312,152.44650535617,153.15482675431,2028362.0
2016-12-29,156.0,156.75,155.16,155.69,1803955.0,0.0,1.0,153.4696362646,154.20747105433,152.6432613001,153.16466455151,1803955.0
2016-12-28,157.12,157.35,156.01,156.1,1810021.0,0.0,1.0,154.5714695506,154.79773888612,153.4794740618,153.56801423657,1810021.0
2016-12-27,158.41,158.48,156.91,157.48,1858139.0,0.0,1.0,155.84054538895,155.90940996932,154.36487580948,154.92563024968,1858139.0
2016-12-23,158.27,158.27,156.51,157.81,2135528.0,0.0,1.0,155.70281622819,155.70281622819,153.97136392162,155.25027755716,2135528.0
2016-12-22,158.5,158.99,156.25,157.46,3955251.0,0.0,1.0,155.92908556371,156.41113762634,153.71558119451,154.90595465528,3955251.0
2016-12-21,156.6883,158.5,156.65,157.48,2326366.0,0.0,1.0,154.14677184563,155.92908556371,154.10909308237,154.92563024968,2326366.0
2016-12-20,156.96,157.89,155.95,156.39,2270137.0,0.0,1.0,154.41406479546,155.32897993473,153.42044727862,153.85331035526,2270137.0
2016-12-19,155.16,157.1,155.07,156.18,3002737.0,0.0,1.0,152.6432613001,154.55179395621,152.55472112533,153.64671661414,3002737.0
2016-12-16,153.88,156.0,153.14,154.5,5885499.0,0.0,1.0,151.38402325895,153.4696362646,150.65602626642,151.99396668513,5885499.0
2016-12-15,153.93,155.24,153.06,153.77,2889324.0,0.0,1.0,151.43321224494,152.72196367767,150.57732388884,151.27580748979,2889324.0
2016-12-14,156.23,156.37,154.18,154.47,3640207.0,0.0,1.0,153.69590560012,153.83363476087,151.67915717485,151.96445329354,3640207.0
2016-12-13,159.1,160.07,154.88,156.66,5650374.0,0.0,1.0,156.5193533955,157.47361972356,152.3678029786,154.11893087957,5650374.0
2016-12-12,156.0,158.0,154.3,157.16,4247679.0,0.0,1.0,153.4696362646,155.43719570389,151.7972107412,154.61082073939,4247679.0
2016-12-09,155.65,156.875,155.42,156.49,2707872.0,0.0,1.0,153.12531336273,154.33044351929,152.89904402721,153.95168832723,2707872.0
2016-12-08,154.6,155.97,154.14,155.39,2928370.0,0.0,1.0,152.0923446571,153.44012287301,151.63980598606,152.86953063562,2928370.0
2016-12-07,151.67,154.31,151.0701,154.14,2955753.0,0.0,1.0,149.20987007854,151.8070485384,148.61970062472,151.63980598606,2955753.0
2016-12-06,150.84,152.64,150.02,152.24,3476254.0,0.0,1.0,148.39333291123,150.16413640659,147.58663354112,149.77062451874,3476254.0
2016-12-05,153.24,153.75,151.85,152.16,2855946.0,0.0,1.0,150.75440423838,151.2561318954,149.38695042807,149.69192214116,2855946.0
2016-12-02,152.45,152.49,151.12,152.25,2105571.0,0.0,1.0,149.97721825986,150.01656944865,148.66879123273,149.78046231593,2105571.0
2016-12-01,150.74,152.69,150.39,152.39,2843930.0,0.0,1.0,148.29495493927,150.21332539258,147.95063203739,149.91819147668,2843930.0
2016-11-30,151.59,153.08,150.56,150.56,3990972.0,0.0,1.0,149.13116770097,150.59699948324,148.11787458973,148.11787458973,3990972.0
2016-11-29,149.83,152.11,149.11,151.64,3945317.0,0.0,1.0,147.39971539439,149.64273315518,146.69139399625,149.18035668695,3945317.0
2016-11-28,149.0,150.09,148.315,149.77,4728764.0,0.0,1.0,146.58317822709,147.6554981215,145.90928911913,147.34068861121,4728764.0
2016-11-25,150.0,150.15,149.03,150.04,962387.0,0.0,1.0,147.56695794673,147.71452490468,146.61269161868,147.60630913552,962387.0
2016-11-23,149.61,150.81,149.03,149.74,3070099.0,0.0,1.0,147.18328385607,148.36381951964,146.61269161868,147.31117521962,3070099.0
2016-11-22,147.9,149.76,147.88,149.52,3770002.0,0.0,1.0,145.50102053548,147.33085081402,145.48134494108,147.0947436813,3770002.0
2016-11-21,147.21,148.49,146.52,147.02,2825906.0,0.0,1.0,144.82221252892,146.08145057007,144.14340452237,144.63529438219,2825906.0
2016-11-18,145.18,146.6,144.46,146.35,2214419.0,0.0,1.0,142.82513969804,144.22210689994,142.1168182999,143.97616197003,2214419.0
2016-11-17,146.83,147.12,145.0,145.33,3655624.0,0.0,1.0,144.44837623546,144.73367235415,142.64805934851,142.97270665599,3655624.0
2016-11-16,147.3,148.41,146.14,146.44,3553694.0,0.0,1.0,144.91075270369,146.0027481925,143.7695682289,144.0647021448,3553694.0
2016-11-15,148.44,149.45,147.19,148.11,3856601.0,0.0,1.0,146.03226158409,147.02587910093,144.80253693453,145.7076142766,3856601.0
2016-11-14,148.21,150.09,148.21,149.99,4490877.0,0.0,1.0,145.80599224857,147.6554981215,145.80599224857,147.55712014954,4490877.0
2016-11-11,147.12,148.6,146.56,148.52,3585163.0,0.0,1.0,144.73367235415,146.18966633923,144.18275571115,146.11096396166,3585163.0
2016-11-10,146.51,149.34,146.39,147.69,6507346.0,0.0,1.0,144.13356672517,146.91766333177,144.01551315881,145.29442679435,6507346.0
2016-11-09,141.6,145.85,141.54,145.09,5494382.0,0.0,1.0,139.30320830171,143.48427211021,139.24418151854,142.73659952328,5494382.0
2016-11-08,141.92,143.31,141.2924,142.2,2822675.0,1.09,1.0,139.618017812,140.98547162231,139.00059765995,139.8934761335,2822675.0
2016-11-07,141.5,143.1,141.49,143.03,3228202.0,0.0,1.0,138.14590601501,139.70797986394,138.13614305345,139.63963913305,3228202.0
2016-11-04,139.11,140.85,138.8038,139.54,2951457.0,0.0,1.0,135.81255820316,137.51131351388,135.51361632032,136.23236555006,2951457.0
2016-11-03,140.76,140.895,139.35,140.02,2277503.0,0.0,1.0,137.42344685988,137.55524684088,136.0468692805,136.70098770474,2277503.0
2016-11-02,142.0,142.87,140.59,140.75,2781915.0,0.0,1.0,138.6340540928,139.48343174816,137.25747651343,137.41368389832,2781915.0
2016-11-01,142.95,143.9,141.81,142.41,3244997.0,0.0,1.0,139.5615354406,140.48901678841,138.44855782324,139.03433551659,3244997.0
2016-10-31,143.05,143.35,142.15,142.43,3075889.0,0.0,1.0,139.65916505616,139.95205390284,138.78049851614,139.0538614397,3075889.0
2016-10-28,143.72,144.0,142.1745,143.01,4636040.0,0.0,1.0,140.3132834804,140.58664640397,138.80441777195,139.62011320994,4636040.0
2016-10-27,145.83,146.23,141.78,143.31,7857081.0,0.0,1.0,142.37326836868,142.76378683092,138.41926893857,139.91300205661,7857081.0
2016-10-26,138.43,146.19,136.72,145.54,13270976.0,0.0,1.0,135.14867681737,142.72473498469,133.47921039132,142.09014248356,13270976.0
2016-10-25,137.53,139.42,137.35,139.02,5206695.0,0.0,1.0,134.27001027734,136.11521001139,134.09427696934,135.72469154916,5206695.0
2016-10-24,136.41,138.88,136.41,137.45,3814097.0,0.0,1.0,133.17655858309,135.58801008738,133.17655858309,134.1919065849,3814097.0
2016-10-21,134.72,136.19,134.25,135.63,2205772.0,0.0,1.0,131.52661808015,132.96177342886,131.06775888703,132.41504758174,2205772.0
2016-10-20,135.92,136.75,135.37,135.84,2539711.0,0.0,1.0,132.69817346685,133.50849927599,132.16121058128,132.62006977441,2539711.0
2016-10-19,135.42,136.95,135.33,136.18,2265864.0,0.0,1.0,132.21002538906,133.7037585071,132.12215873506,132.95201046731,2265864.0
2016-10-18,135.03,135.74,134.915,135.1,2271047.0,0.0,1.0,131.82926988839,132.52244015885,131.71699583049,131.89761061928,2271047.0
2016-10-17,133.5,135.38,133.33,134.0,2435134.0,0.0,1.0,130.33553677034,132.17097354284,130.16956642389,130.82368484813,2435134.0
2016-10-14,134.56,135.25,133.48,133.5,2317429.0,0.0,1.0,131.37041069526,132.04405504261,130.31601084723,130.33553677034,2317429.0
2016-10-13,132.42,133.93,131.39,133.38,3544190.0,0.0,1.0,129.28113692231,130.75534411724,128.27555188206,130.21838123167,3544190.0
2016-10-12,133.76,134.28,133.0,133.16,2264188.0,0.0,1.0,130.58937377079,131.0970477717,129.84738869255,130.00359607744,2264188.0
2016-10-11,134.94,135.69,133.27,133.74,3606630.0,0.0,1.0,131.74140323438,132.47362535107,130.11098865456,130.56984784768,3606630.0
2016-10-10,134.589,136.87,134.589,135.84,3343271.0,0.0,1.0,131.39872328377,133.62565481466,131.39872328377,132.62006977441,3343271.0
2016-10-07,133.93,134.66,132.54,133.85,4299180.0,0.0,1.0,130.75534411724,131.46804031082,129.39829246098,130.6772404248,4299180.0
2016-10-06,134.83,135.0,133.68,134.42,3614860.0,0.0,1.0,131.63401065727,131.79998100372,130.51127007835,131.23372923348,3614860.0
2016-10-05,132.93,134.9,132.55,134.66,3137532.0,0.0,1.0,129.77904796166,131.70235138816,129.40805542254,131.46804031082,3137532.0
2016-10-04,132.77,133.2313,131.69,132.25,2829188.0,0.0,1.0,129.62284057677,130.07320599334,128.56844072874,129.11516657586,2829188.0
2016-10-03,131.28,132.72,130.74,132.38,2435765.0,0.0,1.0,128.16815930495,129.57402576899,127.64095938093,129.24208507609,2435765.0
2016-09-30,132.09,132.63,131.2701,131.74,3117139.0,0.0,1.0,128.95895919097,129.48615911499,128.15849397301,128.61725553652,3117139.0
