Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-05-24,31.93,31.94,31.22,31.49,23279197.0,0.0,1.0,31.93,31.94,31.22,31.49,23279197.0
2017-05-23,31.83,31.87,31.52,31.76,29564336.0,0.0,1.0,31.83,31.87,31.52,31.76,29564336.0
2017-05-22,31.15,31.98,31.15,31.59,34678962.0,0.0,1.0,31.15,31.98,31.15,31.59,34678962.0
2017-05-19,31.74,31.78,31.015,31.21,38397740.0,0.0,1.0,31.74,31.78,31.015,31.21,38397740.0
2017-05-18,31.1,31.51,30.37,31.38,84684448.0,0.0,1.0,31.1,31.51,30.37,31.38,84684448.0
2017-05-17,34.2,34.31,33.8,33.83,33638700.0,0.0,1.0,34.2,34.31,33.8,33.83,33638700.0
2017-05-16,34.24,34.33,34.035,34.3,18667713.0,0.0,1.0,34.24,34.33,34.035,34.3,18667713.0
2017-05-15,34.0,34.46,33.9723,34.23,30393357.0,0.0,1.0,34.0,34.46,33.9723,34.23,30393357.0
2017-05-12,33.6,33.62,33.14,33.45,19979562.0,0.0,1.0,33.6,33.62,33.14,33.45,19979562.0
2017-05-11,33.72,33.82,33.48,33.63,16374518.0,0.0,1.0,33.72,33.82,33.48,33.63,16374518.0
2017-05-10,33.9,33.9,33.58,33.74,17203603.0,0.0,1.0,33.9,33.9,33.58,33.74,17203603.0
2017-05-09,34.14,34.255,33.84,33.9,18342556.0,0.0,1.0,34.14,34.255,33.84,33.9,18342556.0
2017-05-08,34.46,34.6,34.15,34.29,13121916.0,0.0,1.0,34.46,34.6,34.15,34.29,13121916.0
2017-05-05,34.25,34.4,34.07,34.39,14632151.0,0.0,1.0,34.25,34.4,34.07,34.39,14632151.0
2017-05-04,34.33,34.49,34.07,34.18,13621120.0,0.0,1.0,34.33,34.49,34.07,34.18,13621120.0
2017-05-03,34.16,34.335,34.12,34.25,14235734.0,0.0,1.0,34.16,34.335,34.12,34.25,14235734.0
2017-05-02,34.06,34.24,33.93,34.23,14139327.0,0.0,1.0,34.06,34.24,33.93,34.23,14139327.0
2017-05-01,34.11,34.14,33.81,33.965,13233720.0,0.0,1.0,34.11,34.14,33.81,33.965,13233720.0
2017-04-28,33.88,34.075,33.67,34.06,19738533.0,0.0,1.0,33.88,34.075,33.67,34.06,19738533.0
2017-04-27,34.01,34.11,33.62,33.75,26143530.0,0.0,1.0,34.01,34.11,33.62,33.75,26143530.0
2017-04-26,33.58,33.63,33.37,33.4,15558064.0,0.0,1.0,33.58,33.63,33.37,33.4,15558064.0
2017-04-25,33.39,33.52,33.35,33.42,14823502.0,0.0,1.0,33.39,33.52,33.35,33.42,14823502.0
2017-04-24,33.24,33.36,33.13,33.28,15379635.0,0.0,1.0,33.24,33.36,33.13,33.28,15379635.0
2017-04-21,32.94,32.94,32.67,32.82,13877681.0,0.0,1.0,32.94,32.94,32.67,32.82,13877681.0
2017-04-20,32.79,32.95,32.72,32.83,11927466.0,0.0,1.0,32.79,32.95,32.72,32.83,11927466.0
2017-04-19,32.8,32.89,32.61,32.65,16373804.0,0.0,1.0,32.8,32.89,32.61,32.65,16373804.0
2017-04-18,32.56,32.73,32.45,32.67,13349601.0,0.0,1.0,32.56,32.73,32.45,32.67,13349601.0
2017-04-17,32.48,32.67,32.45,32.61,11961203.0,0.0,1.0,32.48,32.67,32.45,32.61,11961203.0
2017-04-13,32.71,32.85,32.42,32.42,16234866.0,0.0,1.0,32.71,32.85,32.42,32.42,16234866.0
2017-04-12,32.86,32.96,32.5,32.62,25455074.0,0.0,1.0,32.86,32.96,32.5,32.62,25455074.0
2017-04-11,33.04,33.08,32.635,32.92,18945836.0,0.0,1.0,33.04,33.08,32.635,32.92,18945836.0
2017-04-10,32.96,33.22,32.87,33.01,14824148.0,0.0,1.0,32.96,33.22,32.87,33.01,14824148.0
2017-04-07,33.1,33.15,32.92,32.96,13928166.0,0.0,1.0,33.1,33.15,32.92,32.96,13928166.0
2017-04-06,33.0,33.28,32.89,33.08,15316812.0,0.0,1.0,33.0,33.28,32.89,33.08,15316812.0
2017-04-05,33.49,33.53,32.97,33.0,17572539.0,0.0,1.0,33.49,33.53,32.97,33.0,17572539.0
2017-04-04,33.25,33.42,32.93,33.41,18602627.0,0.29,1.0,33.25,33.42,32.93,33.41,18602627.0
2017-04-03,33.7,33.94,33.46,33.58,19367794.0,0.0,1.0,33.410000000000004,33.64793471810089,33.172065281899116,33.29103264094955,19367794.0
2017-03-31,33.72,33.88,33.66,33.8,14038491.0,0.0,1.0,33.42982789317507,33.58845103857567,33.37034421364985,33.50913946587537,14038491.0
2017-03-30,33.8,33.9255,33.72,33.74,12801588.0,0.0,1.0,33.50913946587537,33.633559495548965,33.42982789317507,33.44965578635015,12801588.0
2017-03-29,34.0,34.05,33.65,33.74,16504103.0,0.0,1.0,33.707418397626114,33.7569881305638,33.36043026706231,33.44965578635015,16504103.0
2017-03-28,33.9,34.21,33.82,34.02,21179311.0,0.0,1.0,33.60827893175074,33.915611275964395,33.52896735905045,33.72724629080119,21179311.0
2017-03-27,33.82,34.03,33.75,33.99,17740630.0,0.0,1.0,33.52896735905045,33.73716023738873,33.45956973293769,33.697504451038576,17740630.0
2017-03-24,34.07,34.3,33.95,34.08,18125090.0,0.0,1.0,33.776816023738874,34.004836795252224,33.65784866468843,33.78672997032641,18125090.0
2017-03-23,34.08,34.26,33.91,33.96,16709307.0,0.0,1.0,33.78672997032641,33.96518100890208,33.61819287833828,33.66776261127597,16709307.0
2017-03-22,33.78,34.2,33.78,34.1,16646087.0,0.0,1.0,33.4893115727003,33.905697329376856,33.4893115727003,33.80655786350149,16646087.0
2017-03-21,34.45,34.47,33.7801,33.88,21405952.0,0.0,1.0,34.15354599406528,34.17337388724036,33.48941071216617,33.58845103857567,21405952.0
2017-03-20,34.2,34.385,34.2,34.28,14974096.0,0.0,1.0,33.905697329376856,34.08910534124629,33.905697329376856,33.985008902077155,14974096.0
2017-03-17,34.35,34.38,34.19,34.23,26787248.0,0.0,1.0,34.054406528189915,34.08414836795253,33.89578338278932,33.935439169139464,26787248.0
2017-03-16,34.25,34.48,34.1,34.23,14521636.0,0.0,1.0,33.95526706231454,34.18328783382789,33.80655786350149,33.935439169139464,14521636.0
2017-03-15,34.07,34.35,34.05,34.24,14961684.0,0.0,1.0,33.776816023738874,34.054406528189915,33.7569881305638,33.94535311572701,14961684.0
2017-03-14,33.94,34.14,33.84,34.12,14578391.0,0.0,1.0,33.64793471810089,33.846213649851634,33.548795252225524,33.82638575667656,14578391.0
2017-03-13,34.22,34.33,34.0,34.1,16164809.0,0.0,1.0,33.92552522255193,34.03457863501484,33.707418397626114,33.80655786350149,16164809.0
2017-03-10,34.24,34.295,34.08,34.26,19038351.0,0.0,1.0,33.94535311572701,33.99987982195846,33.78672997032641,33.96518100890208,19038351.0
2017-03-09,34.04,34.11,33.87,34.07,17490190.0,0.0,1.0,33.74707418397626,33.81647181008902,33.57853709198813,33.776816023738874,17490190.0
2017-03-08,34.18,34.23,33.93,34.02,18686747.0,0.0,1.0,33.88586943620178,33.935439169139464,33.638020771513354,33.72724629080119,18686747.0
2017-03-07,34.0,34.25,33.99,34.2,21033740.0,0.0,1.0,33.707418397626114,33.95526706231454,33.697504451038576,33.905697329376856,21033740.0
2017-03-06,34.04,34.28,33.96,34.19,17605072.0,0.0,1.0,33.74707418397626,33.985008902077155,33.66776261127597,33.89578338278932,17605072.0
2017-03-03,34.42,34.44,34.23,34.29,14206428.0,0.0,1.0,34.123804154302675,34.143632047477745,33.935439169139464,33.994922848664686,14206428.0
2017-03-02,34.41,34.53,34.21,34.39,16137699.0,0.0,1.0,34.11389020771513,34.23285756676558,33.915611275964395,34.09406231454006,16137699.0
