Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-05-24,107.15,107.825,106.93,107.71,4366699.0,0.0,1.0,107.15,107.825,106.93,107.71,4366699.0
2017-05-23,107.68,107.8,106.9142,107.02,7513934.0,0.0,1.0,107.68,107.8,106.9142,107.02,7513934.0
2017-05-22,107.65,108.2,107.41,107.63,5484423.0,0.0,1.0,107.65,108.2,107.41,107.63,5484423.0
2017-05-19,106.76,107.86,106.7,107.52,5962236.0,0.0,1.0,106.76,107.86,106.7,107.52,5962236.0
2017-05-18,105.98,107.31,105.98,106.68,6516621.0,0.0,1.0,105.98,107.31,105.98,106.68,6516621.0
2017-05-17,106.0,106.63,105.23,106.31,12677467.0,0.0,1.0,106.0,106.63,105.23,106.31,12677467.0
2017-05-16,109.12,109.23,107.82,107.98,10016682.0,0.0,1.0,109.12,109.23,107.82,107.98,10016682.0
2017-05-15,109.73,110.08,109.12,109.13,5913123.0,0.0,1.0,109.73,110.08,109.12,109.13,5913123.0
2017-05-12,109.8,109.89,109.27,109.69,4967734.0,0.0,1.0,109.8,109.89,109.27,109.69,4967734.0
2017-05-11,109.74,110.005,108.5,109.58,7938863.0,0.0,1.0,109.74,110.005,108.5,109.58,7938863.0
2017-05-10,109.0,109.66,108.13,109.66,17045219.0,0.0,1.0,109.0,109.66,108.13,109.66,17045219.0
2017-05-09,111.55,112.1457,110.35,112.07,8248743.0,0.0,1.0,111.55,112.1457,110.35,112.07,8248743.0
2017-05-08,112.39,112.39,111.0,111.42,5975428.0,0.0,1.0,112.39,112.39,111.0,111.42,5975428.0
2017-05-05,111.49,112.15,110.92,111.99,5631820.0,0.0,1.0,111.49,112.15,110.92,111.99,5631820.0
2017-05-04,110.58,111.3,109.06,111.17,10578710.0,0.0,1.0,110.58,111.3,109.06,111.17,10578710.0
2017-05-03,114.03,114.09,111.18,111.62,11506867.0,0.0,1.0,114.03,114.09,111.18,111.62,11506867.0
2017-05-02,114.87,114.99,113.68,114.37,6534126.0,0.0,1.0,114.87,114.99,113.68,114.37,6534126.0
2017-05-01,115.59,115.61,114.72,114.73,4910312.0,0.0,1.0,115.59,115.61,114.72,114.73,4910312.0
2017-04-28,115.87,115.9,115.24,115.6,3947362.0,0.0,1.0,115.87,115.9,115.24,115.6,3947362.0
2017-04-27,115.8,116.1,115.39,115.84,3874615.0,0.0,1.0,115.8,116.1,115.39,115.84,3874615.0
2017-04-26,115.4,115.96,114.86,115.58,4638217.0,0.0,1.0,115.4,115.96,114.86,115.58,4638217.0
2017-04-25,113.73,115.52,113.68,115.16,5641941.0,0.0,1.0,113.73,115.52,113.68,115.16,5641941.0
2017-04-24,115.26,115.38,113.66,113.7,7294620.0,0.0,1.0,115.26,115.38,113.66,113.7,7294620.0
2017-04-21,114.38,115.12,114.27,114.44,6654516.0,0.0,1.0,114.38,115.12,114.27,114.44,6654516.0
2017-04-20,114.17,115.05,113.87,114.79,5278817.0,0.0,1.0,114.17,115.05,113.87,114.79,5278817.0
2017-04-19,114.56,115.0,113.54,113.73,5303424.0,0.0,1.0,114.56,115.0,113.54,113.73,5303424.0
2017-04-18,113.48,114.75,113.0,114.19,6191132.0,0.0,1.0,113.48,114.75,113.0,114.19,6191132.0
2017-04-17,113.33,113.94,113.22,113.78,5120176.0,0.0,1.0,113.33,113.94,113.22,113.78,5120176.0
2017-04-13,113.04,114.2501,112.99,113.2,6530791.0,0.0,1.0,113.04,114.2501,112.99,113.2,6530791.0
2017-04-12,113.03,113.276,112.76,113.04,4086275.0,0.0,1.0,113.03,113.276,112.76,113.04,4086275.0
2017-04-11,113.68,113.83,112.5901,113.07,5230127.0,0.0,1.0,113.68,113.83,112.5901,113.07,5230127.0
2017-04-10,112.8,112.89,112.04,112.43,4053564.0,0.0,1.0,112.8,112.89,112.04,112.43,4053564.0
2017-04-07,112.82,113.28,112.53,112.58,4300468.0,0.0,1.0,112.82,113.28,112.53,112.58,4300468.0
2017-04-06,112.85,113.4201,112.39,113.05,4744006.0,0.0,1.0,112.85,113.4201,112.39,113.05,4744006.0
2017-04-05,113.58,113.84,112.79,113.0,4795081.0,0.0,1.0,113.58,113.84,112.79,113.0,4795081.0
2017-04-04,113.15,113.55,112.83,113.04,3385987.0,0.0,1.0,113.15,113.55,112.83,113.04,3385987.0
2017-04-03,113.18,113.65,112.43,113.2,4643409.0,0.0,1.0,113.18,113.65,112.43,113.2,4643409.0
2017-03-31,113.0,113.71,112.95,113.39,4617427.0,0.0,1.0,113.0,113.71,112.95,113.39,4617427.0
2017-03-30,112.53,113.295,112.2768,113.18,4192753.0,0.0,1.0,112.53,113.295,112.2768,113.18,4192753.0
