Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-05-24,147.94,149.99,147.0,149.5,3348932.0,0.0,1.0,147.94,149.99,147.0,149.5,3348932.0
2017-05-23,148.22,148.53,147.65,147.82,3259171.0,0.0,1.0,148.22,148.53,147.65,147.82,3259171.0
2017-05-22,148.3,148.88,147.93,148.19,3294468.0,0.0,1.0,148.3,148.88,147.93,148.19,3294468.0
2017-05-19,147.25,148.83,146.84,148.15,4061581.0,0.0,1.0,147.25,148.83,146.84,148.15,4061581.0
2017-05-18,146.41,147.24,145.81,147.01,2701088.0,0.0,1.0,146.41,147.24,145.81,147.01,2701088.0
2017-05-17,146.635,147.46,146.24,146.41,3868811.0,0.0,1.0,146.635,147.46,146.24,146.41,3868811.0
2017-05-16,146.55,147.6686,146.28,147.29,3533947.0,0.0,1.0,146.55,147.6686,146.28,147.29,3533947.0
2017-05-15,145.43,146.4,145.43,146.28,3308450.0,0.0,1.0,145.43,146.4,145.43,146.28,3308450.0
2017-05-12,144.5,145.5,144.46,145.36,2718853.0,0.0,1.0,144.5,145.5,144.46,145.36,2718853.0
2017-05-11,144.08,144.405,143.4,144.21,1893482.0,0.0,1.0,144.08,144.405,143.4,144.21,1893482.0
2017-05-10,143.86,144.64,143.73,144.52,2272253.0,0.0,1.0,143.86,144.64,143.73,144.52,2272253.0
2017-05-09,144.09,144.98,144.0,144.36,3046850.0,0.0,1.0,144.09,144.98,144.0,144.36,3046850.0
2017-05-08,143.93,144.5,143.66,144.24,2813004.0,0.0,1.0,143.93,144.5,143.66,144.24,2813004.0
2017-05-05,143.42,143.975,142.58,143.96,2438046.0,0.0,1.0,143.42,143.975,142.58,143.96,2438046.0
2017-05-04,142.62,143.67,142.26,143.45,4172368.0,0.0,1.0,142.62,143.67,142.26,143.45,4172368.0
2017-05-03,142.2,142.7,141.4,142.62,4278437.0,0.0,1.0,142.2,142.7,141.4,142.62,4278437.0
2017-05-02,140.98,141.81,140.72,141.23,3751244.0,0.0,1.0,140.98,141.81,140.72,141.23,3751244.0
2017-05-01,139.86,141.45,139.84,141.15,3733901.0,0.0,1.0,139.86,141.45,139.84,141.15,3733901.0
2017-04-28,140.39,140.76,139.78,139.93,4768504.0,0.0,1.0,140.39,140.76,139.78,139.93,4768504.0
2017-04-27,141.88,142.79,140.85,140.87,5134930.0,0.0,1.0,141.88,142.79,140.85,140.87,5134930.0
2017-04-26,141.7,142.0,140.34,140.84,7089385.0,0.0,1.0,141.7,142.0,140.34,140.84,7089385.0
2017-04-25,138.14,141.99,137.1836,141.7,10742287.0,0.0,1.0,138.14,141.99,137.1836,141.7,10742287.0
2017-04-24,134.24,134.76,133.26,134.23,5040990.0,0.0,1.0,134.24,134.76,133.26,134.23,5040990.0
2017-04-21,133.55,133.88,133.15,133.41,3466098.0,0.0,1.0,133.55,133.88,133.15,133.41,3466098.0
2017-04-20,132.65,133.44,132.64,133.27,2697250.0,0.0,1.0,132.65,133.44,132.64,133.27,2697250.0
2017-04-19,132.64,133.0,132.34,132.64,3132760.0,0.0,1.0,132.64,133.0,132.34,132.64,3132760.0
2017-04-18,132.01,132.8,131.8,132.3,3617373.0,0.0,1.0,132.01,132.8,131.8,132.3,3617373.0
2017-04-17,131.25,131.87,130.91,131.35,3236373.0,0.0,1.0,131.25,131.87,130.91,131.35,3236373.0
2017-04-13,131.0,131.14,130.57,130.76,2429242.0,0.0,1.0,131.0,131.14,130.57,130.76,2429242.0
2017-04-12,131.31,131.56,130.87,131.26,3195534.0,0.0,1.0,131.31,131.56,130.87,131.26,3195534.0
2017-04-11,130.62,131.24,129.8,131.2,3677631.0,0.0,1.0,130.62,131.24,129.8,131.2,3677631.0
2017-04-10,129.95,130.65,129.52,129.98,2709287.0,0.0,1.0,129.95,130.65,129.52,129.98,2709287.0
2017-04-07,130.02,130.4,129.62,129.96,2176598.0,0.0,1.0,130.02,130.4,129.62,129.96,2176598.0
2017-04-06,130.31,130.66,129.96,130.15,3857127.0,0.0,1.0,130.31,130.66,129.96,130.15,3857127.0
2017-04-05,129.89,131.58,129.65,130.41,4052194.0,0.0,1.0,129.89,131.58,129.65,130.41,4052194.0
2017-04-04,129.14,129.53,128.65,129.29,3413965.0,0.0,1.0,129.14,129.53,128.65,129.29,3413965.0
2017-04-03,129.5,129.71,128.86,129.61,3287117.0,0.0,1.0,129.5,129.71,128.86,129.61,3287117.0
2017-03-31,129.39,130.19,129.3,129.61,3041677.0,0.0,1.0,129.39,130.19,129.3,129.61,3041677.0
2017-03-30,128.75,129.53,128.6,129.32,2018028.0,0.0,1.0,128.75,129.53,128.6,129.32,2018028.0
2017-03-29,129.0,129.67,128.63,128.84,3197762.0,0.0,1.0,129.0,129.67,128.63,128.84,3197762.0
2017-03-28,129.46,129.77,128.94,129.45,3487426.0,0.0,1.0,129.46,129.77,128.94,129.45,3487426.0
2017-03-27,129.08,129.82,129.02,129.49,2540421.0,0.0,1.0,129.08,129.82,129.02,129.49,2540421.0
2017-03-24,129.38,129.68,129.16,129.34,3568234.0,0.0,1.0,129.38,129.68,129.16,129.34,3568234.0
2017-03-23,129.14,129.59,128.81,129.0,2774527.0,0.0,1.0,129.14,129.59,128.81,129.0,2774527.0
2017-03-22,128.58,129.15,128.41,129.1,3174246.0,0.0,1.0,128.58,129.15,128.41,129.1,3174246.0
2017-03-21,129.22,129.75,128.18,128.52,4062394.0,0.0,1.0,129.22,129.75,128.18,128.52,4062394.0
2017-03-20,128.99,129.4799,128.47,128.78,3415501.0,0.0,1.0,128.99,129.4799,128.47,128.78,3415501.0
2017-03-17,128.57,129.9815,128.42,128.64,12532692.0,0.0,1.0,128.57,129.9815,128.42,128.64,12532692.0
2017-03-16,128.3,128.9,127.93,127.98,3945669.0,0.0,1.0,128.3,128.9,127.93,127.98,3945669.0
2017-03-15,128.21,128.3,127.47,127.88,3529288.0,0.0,1.0,128.21,128.3,127.47,127.88,3529288.0
2017-03-14,127.65,128.23,127.5001,127.8,2492670.0,0.0,1.0,127.65,128.23,127.5001,127.8,2492670.0
2017-03-13,128.01,128.273,127.35,127.61,3130804.0,0.0,1.0,128.01,128.273,127.35,127.61,3130804.0
2017-03-10,128.56,128.59,127.72,127.98,3178923.0,0.0,1.0,128.56,128.59,127.72,127.98,3178923.0
