Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2017-05-24,52.25,52.3,51.74,52.01,9383620.0,0.0,1.0,52.25,52.3,51.74,52.01,9383620.0
2017-05-23,51.98,52.625,51.88,52.2,11081842.0,0.0,1.0,51.98,52.625,51.88,52.2,11081842.0
2017-05-22,51.77,51.96,51.4,51.57,13668910.0,0.0,1.0,51.77,51.96,51.4,51.57,13668910.0
2017-05-19,51.0,52.11,50.81,51.77,20025859.0,0.0,1.0,51.0,52.11,50.81,51.77,20025859.0
2017-05-18,51.97,52.08,51.3,51.68,22559314.0,0.0,1.0,51.97,52.08,51.3,51.68,22559314.0
2017-05-17,52.39,52.87,51.8,51.8,18311492.0,0.0,1.0,52.39,52.87,51.8,51.8,18311492.0
2017-05-16,52.37,53.38,52.12,52.78,14525878.0,0.0,1.0,52.37,53.38,52.12,52.78,14525878.0
2017-05-15,54.12,54.2,53.68,53.77,8187705.0,0.0,1.0,54.12,54.2,53.68,53.77,8187705.0
2017-05-12,54.1,54.39,53.79,54.2,5549459.0,0.0,1.0,54.1,54.39,53.79,54.2,5549459.0
2017-05-11,54.52,54.52,53.4,54.24,6391871.0,0.0,1.0,54.52,54.52,53.4,54.24,6391871.0
2017-05-10,54.91,55.06,54.51,54.56,5806153.0,0.0,1.0,54.91,55.06,54.51,54.56,5806153.0
2017-05-09,54.33,55.08,54.16,54.89,6337070.0,0.0,1.0,54.33,55.08,54.16,54.89,6337070.0
2017-05-08,54.18,54.51,53.83,54.3,8719555.0,0.0,1.0,54.18,54.51,53.83,54.3,8719555.0
2017-05-05,54.41,54.5,53.56,53.95,13231643.0,0.0,1.0,54.41,54.5,53.56,53.95,13231643.0
2017-05-04,54.68,54.83,54.2,54.47,6822606.0,0.0,1.0,54.68,54.83,54.2,54.47,6822606.0
2017-05-03,55.17,55.3,54.4,54.53,9471796.0,0.0,1.0,55.17,55.3,54.4,54.53,9471796.0
2017-05-02,55.12,55.16,54.79,55.07,7273355.0,0.0,1.0,55.12,55.16,54.79,55.07,7273355.0
2017-05-01,55.43,55.45,54.98,54.99,4868204.0,0.0,1.0,55.43,55.45,54.98,54.99,4868204.0
